,year,freq
0,1906,1
1,1907,0
2,1908,0
3,1909,0
4,1910,2
5,1911,0
6,1912,0
7,1913,0
8,1914,0
9,1915,0
10,1916,1
11,1917,0
12,1918,0
13,1919,0
14,1920,1
15,1921,0
16,1922,0
17,1923,0
18,1924,0
19,1925,1
20,1926,0
21,1927,0
22,1928,0
23,1929,1
24,1930,1
25,1931,2
26,1932,0
27,1933,1
28,1934,1
29,1935,0
30,1936,2
31,1937,2
32,1938,0
33,1939,3
34,1940,0
35,1941,1
36,1942,2
37,1943,9
38,1944,9
39,1945,9
40,1946,10
41,1947,37
42,1948,8
43,1949,16
44,1950,28
45,1951,20
46,1952,49
47,1953,33
48,1954,53
49,1955,32
50,1956,45
51,1957,72
52,1958,47
53,1959,50
54,1960,66
55,1961,48
56,1962,73
57,1963,86
58,1964,88
59,1965,188
60,1966,193
61,1967,188
62,1968,220
63,1969,155
64,1970,147
65,1971,130
66,1972,158
67,1973,226
68,1974,273
69,1975,319
70,1976,279
71,1977,268
72,1978,335
73,1979,245
74,1980,246
75,1981,164
76,1982,183
77,1983,153
78,1984,186
79,1985,218
80,1986,193
81,1987,223
82,1988,241
83,1989,251
84,1990,259
85,1991,234
86,1992,252
87,1993,309
88,1994,421
89,1995,1078
90,1996,834
91,1997,1255
92,1998,1767
93,1999,2805
94,2000,2772
95,2001,3122
96,2002,3235
97,2003,3962
98,2004,4257
99,2005,4083
100,2006,3721
101,2007,4269
102,2008,4820
103,2009,4541
104,2010,4283
105,2011,5107
106,2012,7357
107,2013,7037
